record_id,department,region,product_category,status,priority,amount
REC-1000,Engineering,West,Enterprise,Active,Critical,100.0
REC-1001,Engineering,West,Enterprise,Active,High,123.5
REC-1002,Engineering,West,Enterprise,Active,Medium,147.0
REC-1003,Engineering,West,Enterprise,Active,Low,170.5
REC-1004,Engineering,West,Enterprise,Active,Deferred,194.0
REC-1005,Engineering,West,Enterprise,Active,Critical,217.5
REC-1006,Engineering,West,Enterprise,Active,High,241.0
REC-1007,Engineering,West,Enterprise,Active,Medium,264.5
REC-1008,Engineering,West,Enterprise,Active,Low,288.0
REC-1009,Engineering,West,Enterprise,Active,Deferred,311.5
REC-1010,Engineering,West,Enterprise,Active,Critical,335.0
REC-1011,Engineering,West,Enterprise,Active,High,358.5
REC-1012,Engineering,West,Enterprise,Active,Medium,382.0
REC-1013,Engineering,West,Enterprise,Active,Low,405.5
REC-1014,Engineering,West,Enterprise,Active,Deferred,429.0
REC-1015,Engineering,West,Enterprise,Active,Critical,452.5
REC-1016,Engineering,West,Enterprise,Active,High,476.0
REC-1017,Engineering,West,Enterprise,Active,Medium,499.5
REC-1018,Engineering,West,Enterprise,Active,Low,523.0
REC-1019,Engineering,West,Enterprise,Active,Deferred,546.5
REC-1020,Engineering,West,Enterprise,Active,Critical,570.0
REC-1021,Engineering,West,Enterprise,Active,High,593.5
REC-1022,Engineering,West,Enterprise,Active,Medium,617.0
REC-1023,Engineering,West,Enterprise,Active,Low,640.5
REC-1024,Engineering,West,Enterprise,Active,Deferred,664.0
