record_id,department,region,product_category,status,priority,amount
REC-1000,Engineering,West,Enterprise,Active,Critical,100.0
REC-1001,Sales,East,Mid-Market,Pending,High,123.5
REC-1002,Marketing,Central,SMB,Review,Medium,147.0
REC-1003,Finance,South,Startup,Approved,Low,170.5
REC-1004,Operations,North,Government,Closed,Deferred,194.0
REC-1005,Engineering,West,Enterprise,Active,Critical,217.5
REC-1006,Sales,East,Mid-Market,Pending,High,241.0
REC-1007,Marketing,Central,SMB,Review,Medium,264.5
REC-1008,Finance,South,Startup,Approved,Low,288.0
REC-1009,Operations,North,Government,Closed,Deferred,311.5
REC-1010,Engineering,West,Enterprise,Active,Critical,335.0
REC-1011,Sales,East,Mid-Market,Pending,High,358.5
REC-1012,Marketing,Central,SMB,Review,Medium,382.0
REC-1013,Finance,South,Startup,Approved,Low,405.5
REC-1014,Operations,North,Government,Closed,Deferred,429.0
REC-1015,Engineering,West,Enterprise,Active,Critical,452.5
REC-1016,Sales,East,Mid-Market,Pending,High,476.0
REC-1017,Marketing,Central,SMB,Review,Medium,499.5
REC-1018,Finance,South,Startup,Approved,Low,523.0
REC-1019,Operations,North,Government,Closed,Deferred,546.5
REC-1020,Engineering,West,Enterprise,Active,Critical,570.0
REC-1021,Sales,East,Mid-Market,Pending,High,593.5
REC-1022,Marketing,Central,SMB,Review,Medium,617.0
REC-1023,Finance,South,Startup,Approved,Low,640.5
REC-1024,Operations,North,Government,Closed,Deferred,664.0
